id,title,tagline,urlBersih,category,love,comments,author,cityName,provinceName,createdAt,hidup,httpStatus,page,stars,tema
s00_01KX7RWVNCFMCHQWYFCSF5A0VM,Lakoni,AI Agent WhatsApp untuk UMKM Indonesia,https://lakoni.sulth.com/,saas,25,0,sulth,Klaten,Jawa Tengah,2026-07-11T05:02:42.628Z,true,200,https://aiclub.id/showcase/s00_01KX7RWVNCFMCHQWYFCSF5A0VM,,CRM / WhatsApp automation
s00_01KXAADMX9JV29A6G49QJTKBMP,cash‑flow multimodal,"Mencatat transaksi lebih mudah, cukup kirim, AI yang mengelola",https://github.com/Nurauliamuhdir/I-O-Modal-MoneyMate,opensource,18,0,Nur Aulia Muhdir,Makassar,Sulawesi Selatan,2026-07-12T04:47:27.438Z,true,200,https://aiclub.id/showcase/s00_01KXAADMX9JV29A6G49QJTKBMP,3,"Keuangan / akuntansi personal; Produktivitas personal"
s00_01KXZTASRM2FWEBQJ5KMWW606P,silong - notion x obsidian clone,opensource notion dan obsidian untuk second brain mu,https://silong-os.vercel.app/,opensource,10,0,rahman,Jakarta Timur,DKI Jakarta,2026-07-20T13:09:34.384Z,true,200,https://aiclub.id/showcase/s00_01KXZTASRM2FWEBQJ5KMWW606P,,Produktivitas personal
s00_01KYTW35W6QYPZF9TCXJ2PRG6Q,Dana Kampung - Iuran Kampung,DAPUNG,https://nalarin-dapung.acal.my.id/,opensource,9,3,Heri,Sleman,DI Yogyakarta,2026-07-31T01:19:51.517Z,true,200,https://aiclub.id/showcase/s00_01KYTW35W6QYPZF9TCXJ2PRG6Q,,Pemerintahan / desa / komunitas
s00_01KXCXGYVQAW0Y6PSQ00R0EGQ6,EduCraft,Buat materi infografis edukatif sat set,https://educraft.pareanom.my.id/,produk,9,0,PareanomDigital,Yogyakarta,DI Yogyakarta,2026-07-13T04:59:47.722Z,true,200,https://aiclub.id/showcase/s00_01KXCXGYVQAW0Y6PSQ00R0EGQ6,,Pendidikan / sekolah
s00_01KXZM1C7M66Q4N4ZC2EBM0BKE,MSO,kontrol vps dari browser untuk pemula bermain vps,https://os.rahmanef.com/,opensource,7,0,rahman,Jakarta Timur,DKI Jakarta,2026-07-20T11:19:34.155Z,false,404,https://aiclub.id/showcase/s00_01KXZM1C7M66Q4N4ZC2EBM0BKE,,Developer tools / infra
s00_01M142F4YJ09AXW34E5K3T2ZFY,Tes Keterampilan Berhitung Dasar,"Bangun Fondasi Berhitung yang Kuat dan Terukur, membantu siswa, orang tua, guru, dan sekolah melakukan diagnosis, latihan, serta terapi kecakapan berhitung",https://tosm.web.id/,produk,7,0,Adems,Semarang,Jawa Tengah,2026-08-28T11:35:50.035Z,true,200,https://aiclub.id/showcase/s00_01M142F4YJ09AXW34E5K3T2ZFY,,"Pendidikan / sekolah; Developer tools / infra"
s00_01KY4PSV4HFK67X0WDY3KX0MNG,Konsulpajak-ai.com  (Konsultasi Pajak Berbasis AI ),"Asisten Pajak AI yang membantu menjawab pertanyaan perpajakan dengan cepat, praktis, dan mudah dipahami.",https://konsulpajak-ai.com/,web,6,1,Konsulpajak-ai.com,Makassar,Sulawesi Selatan,2026-07-22T10:44:05.191Z,true,200,https://aiclub.id/showcase/s00_01KY4PSV4HFK67X0WDY3KX0MNG,,Lainnya
s00_01KX0DWADZ5EKJ11KGTX9TRVG8,dikasihUP Creator Toolkit,"Mulai Pakai Sistem. AI yang ngerti kamu dulu, baru bantu kamu generate ide, script, strategi, sampai menentukan produk yang tepat untuk kamu jual.",https://dikasihup.com/,tools,6,0,rahmad,Makassar,Sulawesi Selatan,2026-07-08T08:35:29.701Z,true,200,https://aiclub.id/showcase/s00_01KX0DWADZ5EKJ11KGTX9TRVG8,,Konten / marketing AI
s00_01KXZ7EM67NP8857R0ABXVQYMG,CRMAI - Customer Respond Management with AI,"WhatsApp and Telegram CS With AI just with internal knowledge, SOP, and link to complete funneling your business",https://crmai.id,saas,5,1,sihawai86,Gresik,Jawa Timur,2026-07-20T07:39:36.762Z,true,200,https://aiclub.id/showcase/s00_01KXZ7EM67NP8857R0ABXVQYMG,,CRM / WhatsApp automation
